"sample","name","distribution","size","cpu","real","gc","memory"
0,"filliatre","random",16,199,199,43,268829440
1,"filliatre","random",16,199,199,43,268330336
2,"filliatre","random",16,199,199,43,267655728
3,"filliatre","random",16,200,200,43,268110208
4,"filliatre","random",16,207,207,45,268128208
5,"filliatre","random",16,204,204,44,267497184
6,"filliatre","random",16,200,200,43,267486880
7,"filliatre","random",16,199,199,43,268150576
8,"filliatre","random",16,203,203,43,269142368
9,"filliatre","random",16,200,200,43,269510080
10,"filliatre","random",16,199,199,43,268491248
11,"filliatre","random",16,200,200,44,268290800
12,"filliatre","random",16,199,199,43,267729072
13,"filliatre","random",16,199,199,43,269015232
14,"filliatre","random",16,200,200,43,268830896
15,"filliatre","random",16,199,199,43,267861536
16,"filliatre","random",16,199,199,43,268926368
17,"filliatre","random",16,200,200,43,268117824
18,"filliatre","random",16,200,200,43,268080112
19,"filliatre","random",16,199,199,43,267842464
20,"filliatre","random",16,199,199,43,267807376
21,"filliatre","random",16,199,199,43,267536496
22,"filliatre","random",16,200,200,43,267401328
23,"filliatre","random",16,199,199,43,269183104
24,"filliatre","random",16,200,200,43,268419072
25,"filliatre","random",16,201,201,44,268327904
26,"filliatre","random",16,199,199,43,269265184
27,"filliatre","random",16,200,200,43,268930176
28,"filliatre","random",16,199,199,43,268155088
29,"filliatre","random",16,199,199,43,268646320
30,"filliatre","random",16,199,199,43,268369808
31,"filliatre","random",16,200,200,43,268090432
32,"filliatre","random",16,199,199,43,267674000
33,"filliatre","random",16,199,199,43,267962336
34,"filliatre","random",16,200,200,43,268769488
35,"filliatre","random",16,201,201,43,268971872
36,"filliatre","random",16,199,199,43,269656560
37,"filliatre","random",16,199,199,43,268500064
38,"filliatre","random",16,199,199,43,267618992
39,"filliatre","random",16,200,200,43,268864176
40,"filliatre","random",16,199,199,43,268223776
41,"filliatre","random",16,199,199,43,268420912
42,"filliatre","random",16,199,199,43,267209104
43,"filliatre","random",16,212,212,47,267263376
44,"filliatre","random",16,197,197,42,268282000
45,"filliatre","random",16,197,197,43,268592848
46,"filliatre","random",16,197,197,42,268425824
47,"filliatre","random",16,198,198,43,268104752
48,"filliatre","random",16,197,197,42,268454608
49,"filliatre","random",16,197,197,43,268108416
50,"filliatre","random",16,197,197,42,267622672
51,"filliatre","random",16,198,198,43,268721696
52,"filliatre","random",16,197,197,42,267654160
53,"filliatre","random",16,196,196,43,267741216
54,"filliatre","random",16,198,198,43,269287344
55,"filliatre","random",16,196,196,42,268499552
56,"filliatre","random",16,198,198,42,268290352
57,"filliatre","random",16,198,198,42,268886096
58,"filliatre","random",16,198,198,43,269353856
59,"filliatre","random",16,198,198,43,267515344
60,"filliatre","random",16,199,199,43,269707168
61,"filliatre","random",16,197,197,42,268218768
62,"filliatre","random",16,199,199,43,269751504
63,"filliatre","random",16,199,199,43,268645680
64,"filliatre","random",16,197,197,42,268170400
65,"filliatre","random",16,197,197,43,267754768
66,"filliatre","random",16,200,200,43,268754288
67,"filliatre","random",16,198,198,43,267405776
68,"filliatre","random",16,200,200,43,268604096
69,"filliatre","random",16,200,200,44,269150304
70,"filliatre","random",16,200,200,43,268221552
71,"filliatre","random",16,201,201,43,268148688
72,"filliatre","random",16,200,200,43,269109232
73,"filliatre","random",16,200,200,44,268964736
74,"filliatre","random",16,199,199,43,267638336
75,"filliatre","random",16,199,199,43,268214240
76,"filliatre","random",16,200,200,43,268824560
77,"filliatre","random",16,200,200,43,269127568
78,"filliatre","random",16,199,199,43,269415984
79,"filliatre","random",16,198,198,43,267865472
80,"filliatre","random",16,199,199,43,268246080
81,"filliatre","random",16,200,200,43,268710048
82,"filliatre","random",16,200,200,43,267643760
83,"filliatre","random",16,201,201,43,267646976
84,"filliatre","random",16,200,200,43,267789632
85,"filliatre","random",16,198,198,43,267803712
86,"filliatre","random",16,199,199,43,267880992
87,"filliatre","random",16,199,199,43,268420560
88,"filliatre","random",16,200,200,43,268983520
89,"filliatre","random",16,200,200,44,269026352
90,"filliatre","random",16,201,201,43,268617984
91,"filliatre","random",16,200,200,43,268609776
92,"filliatre","random",16,199,199,43,268432544
93,"filliatre","random",16,199,199,43,267576368
94,"filliatre","random",16,200,200,43,267664304
95,"filliatre","random",16,198,198,43,267882976
96,"filliatre","random",16,199,199,43,267613920
97,"filliatre","random",16,199,199,43,267978416
98,"filliatre","random",16,199,200,43,268206928
99,"filliatre","random",16,198,198,42,267873680
0,"filliatre","random",17,542,542,158,567174944
1,"filliatre","random",17,544,544,158,568559376
2,"filliatre","random",17,544,544,158,567281872
3,"filliatre","random",17,542,543,158,568979008
4,"filliatre","random",17,543,543,158,569275264
5,"filliatre","random",17,547,547,159,570218272
6,"filliatre","random",17,547,547,158,570818064
7,"filliatre","random",17,544,544,158,569276976
8,"filliatre","random",17,543,543,158,569432928
9,"filliatre","random",17,546,547,160,570043536
10,"filliatre","random",17,542,542,158,567903904
11,"filliatre","random",17,540,540,157,566792224
12,"filliatre","random",17,545,545,158,567981856
13,"filliatre","random",17,569,569,161,567068384
14,"filliatre","random",17,544,544,158,568219696
15,"filliatre","random",17,545,545,160,569776096
16,"filliatre","random",17,545,546,159,568926112
17,"filliatre","random",17,545,545,158,567981104
18,"filliatre","random",17,545,545,159,569656240
