"sample","name","distribution","size","cpu","real","gc","memory"
0,"okasaki","random",16,246,246,56,286240576
1,"okasaki","random",16,238,238,51,285262592
2,"okasaki","random",16,238,238,50,285220512
3,"okasaki","random",16,237,237,50,285312480
4,"okasaki","random",16,238,238,50,285541520
5,"okasaki","random",16,250,251,54,285353088
6,"okasaki","random",16,237,237,50,285285696
7,"okasaki","random",16,237,238,50,285498672
8,"okasaki","random",16,239,239,51,285130656
9,"okasaki","random",16,237,237,50,285559440
10,"okasaki","random",16,240,240,50,285835408
11,"okasaki","random",16,244,244,52,285261824
12,"okasaki","random",16,239,239,51,285158992
13,"okasaki","random",16,241,241,51,285056400
14,"okasaki","random",16,236,236,50,285860560
15,"okasaki","random",16,237,237,50,286126016
16,"okasaki","random",16,236,236,50,285444176
17,"okasaki","random",16,238,238,50,285582320
18,"okasaki","random",16,236,236,50,285814048
19,"okasaki","random",16,236,236,50,286062224
20,"okasaki","random",16,238,238,50,285205168
21,"okasaki","random",16,237,237,50,285668816
22,"okasaki","random",16,240,240,51,285680864
23,"okasaki","random",16,238,238,50,285116016
24,"okasaki","random",16,241,241,51,284954080
25,"okasaki","random",16,238,238,50,285408576
26,"okasaki","random",16,239,239,50,285792480
27,"okasaki","random",16,236,236,51,284988288
28,"okasaki","random",16,236,236,50,285477040
29,"okasaki","random",16,240,240,51,285314400
30,"okasaki","random",16,236,236,50,285333296
31,"okasaki","random",16,240,240,51,285355456
32,"okasaki","random",16,237,237,50,285997376
33,"okasaki","random",16,237,237,50,285747104
34,"okasaki","random",16,239,239,51,286010736
35,"okasaki","random",16,237,237,50,286115376
36,"okasaki","random",16,237,237,51,285201936
37,"okasaki","random",16,242,242,51,285622672
38,"okasaki","random",16,239,239,50,286156480
39,"okasaki","random",16,237,237,50,285828640
40,"okasaki","random",16,236,236,49,284420400
41,"okasaki","random",16,237,237,50,285554880
42,"okasaki","random",16,239,239,51,285105120
43,"okasaki","random",16,236,236,50,285478368
44,"okasaki","random",16,236,236,50,285696752
45,"okasaki","random",16,238,238,50,286023280
46,"okasaki","random",16,236,236,50,285610224
47,"okasaki","random",16,238,238,50,285213056
48,"okasaki","random",16,237,237,50,286027120
49,"okasaki","random",16,238,238,51,285478640
50,"okasaki","random",16,237,237,50,285986368
51,"okasaki","random",16,235,235,50,285548096
52,"okasaki","random",16,239,239,51,285229888
53,"okasaki","random",16,240,240,51,285535728
54,"okasaki","random",16,238,238,50,285632544
55,"okasaki","random",16,238,238,51,285176928
56,"okasaki","random",16,240,240,51,285470112
57,"okasaki","random",16,238,238,50,285826560
58,"okasaki","random",16,236,236,50,285332304
59,"okasaki","random",16,238,238,50,285354432
60,"okasaki","random",16,237,237,50,285661216
61,"okasaki","random",16,236,236,50,285472048
62,"okasaki","random",16,238,238,50,285469936
63,"okasaki","random",16,236,237,50,285123472
64,"okasaki","random",16,236,236,51,285022128
65,"okasaki","random",16,237,237,50,285214288
66,"okasaki","random",16,238,238,50,285944272
67,"okasaki","random",16,237,237,49,286367728
68,"okasaki","random",16,236,236,50,285307840
69,"okasaki","random",16,236,237,49,285925072
70,"okasaki","random",16,236,236,50,285010768
71,"okasaki","random",16,235,235,49,285871616
72,"okasaki","random",16,247,247,52,286229008
73,"okasaki","random",16,236,236,50,284895024
74,"okasaki","random",16,235,235,50,285334240
75,"okasaki","random",16,237,237,50,285142576
76,"okasaki","random",16,237,237,50,285277904
77,"okasaki","random",16,238,238,50,285816272
78,"okasaki","random",16,236,236,49,285883376
79,"okasaki","random",16,238,238,50,286144256
80,"okasaki","random",16,237,237,50,286367056
81,"okasaki","random",16,237,237,50,285849936
82,"okasaki","random",16,236,236,50,285743952
83,"okasaki","random",16,236,236,50,285806272
84,"okasaki","random",16,236,236,50,284950880
85,"okasaki","random",16,243,243,51,285407072
86,"okasaki","random",16,238,238,52,284689952
87,"okasaki","random",16,239,239,50,285932704
88,"okasaki","random",16,238,238,50,285582112
89,"okasaki","random",16,240,240,51,285929200
90,"okasaki","random",16,236,236,49,286305920
91,"okasaki","random",16,237,237,50,285567552
92,"okasaki","random",16,235,235,50,285249232
93,"okasaki","random",16,237,237,50,285918464
94,"okasaki","random",16,237,237,51,285499920
95,"okasaki","random",16,235,235,50,285602864
96,"okasaki","random",16,235,235,50,285312176
97,"okasaki","random",16,236,236,50,285790352
98,"okasaki","random",16,236,236,50,285330576
99,"okasaki","random",16,237,237,51,285342640
0,"okasaki","random",17,631,631,183,603736704
1,"okasaki","random",17,634,634,182,604763328
2,"okasaki","random",17,631,631,182,604082192
3,"okasaki","random",17,629,629,181,606870352
4,"okasaki","random",17,632,632,183,604326528
5,"okasaki","random",17,635,635,185,603642896
6,"okasaki","random",17,633,633,183,603915392
7,"okasaki","random",17,643,643,186,603807872
8,"okasaki","random",17,636,636,184,604319136
9,"okasaki","random",17,634,634,183,604599696
10,"okasaki","random",17,634,634,184,603577376
11,"okasaki","random",17,631,631,182,604768656
12,"okasaki","random",17,631,631,182,604877168
13,"okasaki","random",17,632,632,182,605134176
14,"okasaki","random",17,625,625,178,602704544
15,"okasaki","random",17,635,636,183,604265472
16,"okasaki","random",17,635,635,184,604035952
17,"okasaki","random",17,636,636,185,604294720
18,"okasaki","random",17,652,652,191,603896656
19,"okasaki","random",17,635,635,184,604281456
20,"okasaki","random",17,637,637,186,603226000
21,"okasaki","random",17,633,633,183,604558512
22,"okasaki","random",17,634,634,184,605318096
23,"okasaki","random",17,645,645,189,603550496
24,"okasaki","random",17,632,632,182,604109312
25,"okasaki","random",17,637,637,183,604687104
26,"okasaki","random",17,634,634,183,604206048
27,"okasaki","random",17,641,641,185,604103424
28,"okasaki","random",17,638,638,184,603635168
29,"okasaki","random",17,631,631,183,604157872
30,"okasaki","random",17,623,623,175,603199904
31,"okasaki","random",17,630,630,183,603557952
32,"okasaki","random",17,631,632,183,603704528
33,"okasaki","random",17,632,632,184,605606928
34,"okasaki","random",17,631,631,181,604348016
35,"okasaki","random",17,634,634,181,604971056
36,"okasaki","random",17,626,626,176,602963296
37,"okasaki","random",17,632,632,182,605143152
38,"okasaki","random",17,631,631,182,604010896
39,"okasaki","random",17,624,624,177,602615104
40,"okasaki","random",17,629,630,182,604221824
41,"okasaki","random",17,631,631,184,603287184
42,"okasaki","random",17,634,634,184,603405552
43,"okasaki","random",17,633,633,182,603861712
44,"okasaki","random",17,632,632,182,604448720
45,"okasaki","random",17,631,631,182,604300896
46,"okasaki","random",17,631,631,183,603974208
47,"okasaki","random",17,633,633,183,604704496
48,"okasaki","random",17,631,631,183,603692944
49,"okasaki","random",17,630,630,181,604611328
50,"okasaki","random",17,630,630,182,604250240
51,"okasaki","random",17,623,623,177,602856544
52,"okasaki","random",17,634,634,183,603982544
53,"okasaki","random",17,631,631,182,604272960
54,"okasaki","random",17,621,621,176,602927200
55,"okasaki","random",17,632,632,181,605035888
56,"okasaki","random",17,638,638,184,604401728
57,"okasaki","random",17,630,630,180,605263152
58,"okasaki","random",17,621,621,176,603207024
59,"okasaki","random",17,623,623,178,602683312
60,"okasaki","random",17,628,628,178,602759728
61,"okasaki","random",17,634,634,184,605930400
62,"okasaki","random",17,643,643,185,605503936
63,"okasaki","random",17,627,627,177,602859040
64,"okasaki","random",17,625,625,178,602129504
65,"okasaki","random",17,630,630,182,603718048
66,"okasaki","random",17,634,634,183,604434128
67,"okasaki","random",17,636,636,185,603623760
68,"okasaki","random",17,637,637,184,604304128
69,"okasaki","random",17,633,633,184,604101984
70,"okasaki","random",17,632,632,182,604456944
71,"okasaki","random",17,627,627,177,602947024
