"sample","name","distribution","size","cpu","real","gc","memory"
0,"okasaki","suffixtree",20,5359,5359,347,2718580112
1,"okasaki","suffixtree",20,5310,5311,326,2718501856
2,"okasaki","suffixtree",20,5371,5372,340,2718500448
3,"okasaki","suffixtree",20,5313,5314,327,2718602320
4,"okasaki","suffixtree",20,5332,5332,331,2718514784
5,"okasaki","suffixtree",20,5395,5395,345,2718590480
6,"okasaki","suffixtree",20,5383,5383,340,2718529440
7,"okasaki","suffixtree",20,5335,5335,333,2718505760
8,"okasaki","suffixtree",20,5333,5333,332,2718580496
9,"okasaki","suffixtree",20,5349,5350,336,2718501216
10,"okasaki","suffixtree",20,5309,5309,327,2718600016
11,"okasaki","suffixtree",20,5312,5312,325,2718509152
12,"okasaki","suffixtree",20,5325,5325,330,2718600976
13,"okasaki","suffixtree",20,5353,5353,337,2718509664
14,"okasaki","suffixtree",20,5349,5349,336,2718511648
15,"okasaki","suffixtree",20,5324,5325,330,2718581072
16,"okasaki","suffixtree",20,5336,5336,333,2718501728
17,"okasaki","suffixtree",20,5335,5335,332,2718598992
18,"okasaki","suffixtree",20,5321,5321,329,2718513504
19,"okasaki","suffixtree",20,5348,5348,336,2718589968
20,"okasaki","suffixtree",20,5364,5364,339,2719448096
21,"okasaki","suffixtree",20,5346,5346,332,2720179472
22,"okasaki","suffixtree",20,5356,5356,337,2720115680
23,"okasaki","suffixtree",20,5328,5329,329,2720157392
24,"okasaki","suffixtree",20,5366,5366,338,2720175376
25,"okasaki","suffixtree",20,5323,5324,326,2720180240
26,"okasaki","suffixtree",20,5339,5340,335,2720102240
27,"okasaki","suffixtree",20,5349,5350,337,2720187408
28,"okasaki","suffixtree",20,5381,5381,343,2720168848
29,"okasaki","suffixtree",20,5360,5360,339,2720102368
30,"okasaki","suffixtree",20,5388,5389,345,2720199568
31,"okasaki","suffixtree",20,5345,5345,335,2720193488
32,"okasaki","suffixtree",20,5314,5314,330,2720179920
33,"okasaki","suffixtree",20,5369,5369,341,2720183888
34,"okasaki","suffixtree",20,5378,5378,341,2720157840
35,"okasaki","suffixtree",20,5307,5307,328,2720085088
36,"okasaki","suffixtree",20,5330,5330,331,2720187216
37,"okasaki","suffixtree",20,5344,5344,335,2720095328
38,"okasaki","suffixtree",20,5320,5321,327,2720120864
39,"okasaki","suffixtree",20,5328,5329,330,2720167312
40,"okasaki","suffixtree",20,5408,5409,337,2720148432
41,"okasaki","suffixtree",20,5355,5355,337,2720085152
42,"okasaki","suffixtree",20,5326,5327,330,2720173136
43,"okasaki","suffixtree",20,5313,5313,330,2720142544
44,"okasaki","suffixtree",20,5360,5361,340,2720084896
45,"okasaki","suffixtree",20,5328,5328,330,2720175504
46,"okasaki","suffixtree",20,5321,5321,329,2720184144
47,"okasaki","suffixtree",20,5370,5371,342,2720159888
48,"okasaki","suffixtree",20,5365,5365,342,2720086368
49,"okasaki","suffixtree",20,5344,5344,335,2720179792
50,"okasaki","suffixtree",20,5332,5333,332,2720095840
51,"okasaki","suffixtree",20,5321,5321,329,2720192336
52,"okasaki","suffixtree",20,5328,5329,330,2720166736
53,"okasaki","suffixtree",20,5323,5324,330,2720188176
54,"okasaki","suffixtree",20,5351,5352,335,2720087520
55,"okasaki","suffixtree",20,5332,5333,330,2720192080
56,"okasaki","suffixtree",20,5335,5335,330,2720170896
57,"okasaki","suffixtree",20,5369,5369,342,2720163216
58,"okasaki","suffixtree",20,5335,5335,331,2720087136
59,"okasaki","suffixtree",20,5326,5327,331,2720179856
60,"okasaki","suffixtree",20,5375,5376,342,2720184080
61,"okasaki","suffixtree",20,5368,5369,341,2720143568
62,"okasaki","suffixtree",20,5326,5327,329,2720161040
63,"okasaki","suffixtree",20,5388,5388,331,2720065888
64,"okasaki","suffixtree",20,5361,5361,336,2720186768
65,"okasaki","suffixtree",20,5352,5352,335,2720100960
66,"okasaki","suffixtree",20,5319,5320,328,2720179856
67,"okasaki","suffixtree",20,5331,5332,329,2720173456
68,"okasaki","suffixtree",20,5382,5382,345,2720165648
69,"okasaki","suffixtree",20,5324,5324,330,2720085856
70,"okasaki","suffixtree",20,5370,5370,340,2720179856
71,"okasaki","suffixtree",20,5387,5387,345,2720183056
72,"okasaki","suffixtree",20,5378,5378,343,2720158800
